Date,Region,Cohort,Format,Device,Gender,Age,Income,Spends,Impressions,Clicks,Views,Install,Registration
07-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹9,861","44,968",147,-,1,-
08-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹5,778","23,074",61,-,2,2
09-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹6,431","20,593",83,-,-,-
10-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹13,883","30,281",89,-,-,-
11-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹11,390","23,029",67,-,1,-
12-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,550","7,718",35,-,-,-
13-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,197","8,473",23,-,-,-
14-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹1,393","4,870",12,-,1,-
15-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,154","7,256",16,-,-,-
16-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹4,324","8,126",29,-,-,-
17-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,293","6,166",20,-,-,-
18-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,953","7,992",30,-,-,-
19-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,504","6,876",16,-,-,-
20-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,279","7,078",19,-,-,-
21-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹2,758","6,669",14,-,-,-
22-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,418","7,915",26,-,-,-
23-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,561","8,908",13,-,-,-
24-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹2,211","6,530",23,-,-,-
25-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,557","8,511",25,-,-,-
26-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,296","8,117",22,-,-,-
27-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹3,349","8,281",14,-,-,-
28-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹1,014","2,619",6,-,-,-
01-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹10,61,-,-,-,-
02-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹47,238,1,-,-,-
03-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹43,253,-,-,-,-
04-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹200,"1,031",1,-,-,-
05-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹7,40,-,-,-,-
06-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹292,"1,300",1,-,-,-
07-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,"₹1,195","5,885",5,-,-,-
08-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹285,"1,366",3,-,-,-
09-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹29,193,1,-,-,-
10-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹58,316,-,-,-,-
11-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹66,330,-,-,-,-
12-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹76,334,1,-,-,-
13-09-2024,AHD,InMarket for Finance,NoSkip,CTV&Desktop,Males,2544,T30Inc,₹66,256,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹1,1,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹3,3,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹1,2,-,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹37,27,-,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹48,51,1,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹13,10,-,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹26,38,-,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹110,93,1,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹11,15,-,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹46,51,-,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹165,139,1,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹16,18,-,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹59,79,-,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹305,285,3,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹20,23,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹88,60,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹215,149,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹27,30,1,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹131,43,-,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹305,111,1,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹30,17,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Females,AllAge,AllInc,₹70,20,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹108,41,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,iOS,Females,AllAge,AllInc,₹13,6,-,-,-,-
07-10-2024,AHD,Channels Targeting,NoSkip,Android,Females,AllAge,AllInc,₹10,7,-,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹8,4,-,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹1,9,-,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹10,22,-,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹20,21,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹71,25,-,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹25,16,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,2544,T30Inc,₹3,3,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹6,7,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹1,1,-,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹63,58,-,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹26,11,-,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹103,107,1,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹24,8,-,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹189,143,1,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹23,11,-,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹191,194,-,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹23,25,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹192,91,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹24,15,-,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹289,83,-,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,4554,AllInc,₹5,7,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹196,65,-,-,-,-
07-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,4554,AllInc,₹16,12,-,-,-,1
02-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,₹1,8,-,-,-,-
03-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹33,140,-,-,-,-
03-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,₹0,1,-,-,-,-
04-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,₹2,9,-,-,-,-
04-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹1,2,-,-,-,-
05-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,₹403,"1,040",4,-,-,-
05-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹44,130,1,-,-,-
06-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,₹466,982,6,-,-,-
06-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹72,152,-,-,-,-
07-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹1,325","2,960",20,-,-,-
07-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹149,271,1,-,-,-
08-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹6,166","11,082",69,-,1,1
08-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹182,310,-,-,-,-
09-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹51,76,-,-,-,-
09-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,798","12,266",81,-,2,2
09-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹96,198,-,-,-,-
10-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,869","11,776",83,-,3,5
10-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹11,26,-,-,-,-
11-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹22,32,-,-,-,-
11-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹6,519","11,472",77,-,1,4
11-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹50,96,-,-,-,-
12-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹38,63,-,-,-,-
12-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹7,767","14,894",115,-,2,3
12-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹139,259,1,-,-,-
13-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹17,26,-,-,-,-
13-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹6,124","9,867",76,-,2,3
13-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹113,194,2,-,-,-
14-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹11,20,-,-,-,-
14-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹3,317","6,100",59,-,1,1
14-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹34,73,-,-,-,-
15-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹53,57,-,-,-,-
15-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,729","8,597",63,-,2,3
15-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹65,100,1,-,-,-
16-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹23,30,-,-,-,-
16-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,735","9,480",84,-,1,-
16-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹53,81,-,-,-,-
17-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹35,47,-,-,-,-
17-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹6,354","11,802",114,-,5,2
17-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹61,96,-,-,-,-
18-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹65,96,-,-,-,-
18-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹7,208","12,405",97,-,1,1
18-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹95,153,-,-,-,-
19-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹53,111,-,-,-,-
19-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹6,371","11,574",106,-,2,3
19-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹90,152,-,-,-,-
20-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹63,92,-,-,-,-
20-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,241","10,258",90,-,3,3
20-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹73,138,-,-,-,-
21-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹56,101,-,-,-,-
21-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,606","9,986",73,-,1,-
21-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹106,163,-,-,-,-
22-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹33,73,-,-,-,-
22-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹3,913","6,322",60,-,2,-
22-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹56,98,1,-,-,-
23-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹38,59,-,-,-,-
23-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹2,634","4,811",35,-,-,-
23-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹39,52,-,-,-,-
24-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹38,72,-,-,-,-
24-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹2,849","4,835",38,-,1,-
24-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹30,51,-,-,-,-
25-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹40,65,-,-,-,-
25-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹2,809","4,688",31,-,-,1
25-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹44,63,-,-,-,-
26-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹38,58,-,-,-,-
26-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹2,599","4,106",31,-,1,2
26-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹56,79,1,-,-,-
27-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹55,76,-,-,-,-
27-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹2,927","4,343",45,-,1,-
27-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹55,61,-,-,-,-
28-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹93,95,-,-,-,-
28-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹3,303","4,309",36,-,1,-
28-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹87,99,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹55,75,-,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹3,940","4,777",31,-,-,-
29-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹105,124,1,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹67,62,-,-,-,-
30-09-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹4,324","3,930",27,-,-,2
30-09-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹131,102,-,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹83,68,-,-,-,-
01-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹4,219","4,306",25,-,-,1
01-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹97,62,-,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹82,59,-,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹4,113","4,158",28,-,-,-
02-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹142,98,1,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹62,91,-,-,-,-
03-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹3,656","4,326",28,-,1,-
03-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹208,136,1,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹161,95,-,-,-,-
04-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,631","4,007",33,-,2,1
04-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹323,151,-,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹174,62,-,-,-,-
05-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹5,843","2,873",24,-,1,-
05-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹347,96,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,CTV&Desktop,Males,AllAge,AllInc,₹127,36,-,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,"₹4,066","2,114",16,-,-,-
06-10-2024,AHD,Channels Targeting,NoSkip,iOS,Males,AllAge,AllInc,₹109,30,-,-,-,-
07-10-2024,AHD,Channels Targeting,NoSkip,Android,Males,AllAge,AllInc,₹255,200,2,-,-,-
30-09-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹0,16,-,-,-,-
01-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹6,25,1,5,-,-
02-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹3,35,-,3,-,-
03-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹13,42,-,7,-,-
04-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹6,37,-,3,-,-
05-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹2,25,-,2,-,-
06-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹8,29,2,7,-,-
07-10-2024,AHD,Channels Targeting,Skip,Android,Both,2544,AllInc,₹1,10,-,1,-,-
20-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹0,3,-,1,-,-
21-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹3,16,-,3,-,-
21-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹0,3,-,-,-,-
23-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹1,5,-,1,-,-
23-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,1,-,-,-,-
24-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹1,8,-,2,-,-
24-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹1,4,-,1,-,-
24-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹0,1,-,1,-,-
25-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹2,10,-,3,-,-
25-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,1,-,-,-,-
25-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹0,2,-,-,-,-
26-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹3,18,-,4,-,-
26-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,1,-,-,-,-
26-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹0,8,-,-,-,-
27-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹3,15,-,4,-,-
27-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,2,1,1,-,-
27-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹1,7,-,1,-,-
28-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹5,19,-,5,-,-
28-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,1,-,1,-,-
28-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹0,9,-,-,-,-
29-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹2,18,-,2,-,-
29-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,4,-,-,-,-
29-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹2,9,-,2,-,-
30-09-2024,AHD,Channels Targeting,Skip,CTV&Desktop,Both,AllAge,AllInc,₹7,25,-,7,-,-
30-09-2024,AHD,Channels Targeting,Skip,Android,Both,AllAge,AllInc,₹0,1,-,-,-,-
30-09-2024,AHD,Channels Targeting,Skip,iOS,Both,AllAge,AllInc,₹1,13,-,1,-,-
